name
F. Fabra
G. Cano
C. Izquierdoz
A. Donatti
I. Fernandez
N. Dominguez
Marcelo Goiano
J. Seri
R. Battaglia
O. Al Soma
Ronaldo Esler
Claudio Cointra
Everticinho
Sidney Pessinho
Junior Moraes
D. Upamecano
D. Calabria
E. Palacios
M. Grujic
P. Cutrone
D. Brooks
M. Vargas
Brais Mendez
Luiz Felipe
Y. Atal
J. Grealish
Jorge Mere
N. Mukiele
C. Nkunku
Wendel
F. Valverde
N. Vlasic
Reguilon
Renan Lodi
G. Simeone
A. Sanabria
R. Borre
E. Unal
M. Pasalic
L. Cook
E. Boateng
N. Nandez
J. Mhle
N. Mazraoui
F. Bustos
A. Barak
M. Rojas
S. McTominay
Galeno
Chiquinho
K. Mbabu
P. Sisto
J. Bednarek
D. Calvert-Lewin
O. Duda
M. Lopez
Vallejo
K. Laimer
Borja Mayoral
Cordoba
P. Rosario
W. Hughes
M. Weiser
Andreas Pereira
Emerson
M. Benassi
A. Djiku
Diego Llorente
W. Cyprien
F. Acheampong
N. Bentaleb
P. Hjbjerg
L. Miranda
A. Petagna
K. Tete
G. Escalante
Alex Berenguer
O. Colley
S. Sensi
M. Gacinovic
M. Diakhaby
M. Arambarri
R. Marin
M. Niang
O. Selns
R. Pizarro
C. Salcedo
B. Fernandez
R. Bensebaini
Aritz Elustondo
G. Pereiro
N. Redmond
L. Ocampos
J. Lukaku
K. Ayhan
S. Boufal
P. Max
B. Mechele
Y. Gerhardt
B. Bourigeaud
I. Bebou
Wendell
Pedro Henrique
A. Schopf
G. Rodriguez
C. Dominguez
C. Luyindama
S. Aziz
O. Ozyakup
C. Piccini
C. Coady
R. Knoche
L. Bittencourt
K. Stoger
S. Lainer
Trezeguet
P. Lees-Melou
J. Shelvey
C. Wood
M. Plattenhardt
D. Propper
N. Gudelj
Juanmi
R. Funes Mori
M. van Ginkel
Pedro Obiang
D. Sidibe
Pablo
L. Kurzawa
N. Fullkrug
A. Younes
M. De Sciglio
Ruben Sobrino
R. Centurion
M. Elneny
M. Meza
K. Lasagna
E. Akbaba
P. Hrosovsky
D. Baier
Jo
Ivan Ramis
K. Huntelaar
G. Clichy
A. Young
R. Civelli
D. Cvitanich
J. Farfan
Gelson Fernandes
Javi Garcia
V. Ibisevic
G. Pelle
B. Wright-Phillips
G. Cahill
T. Walcott
